Ticker,Strategy,Scanned Date,Status,Entry Date,Entry Price,Signal Reference Close,Entry Gap %,Stop Loss,Target 1,Target 2 (Informational),EMA50 At Entry,Current Price,PnL,PnL %,PnL % (Net of 0.3% Cost),Days Held,Exit Date,Exit Price,Exit Reason,Last Tracked
FLUOROCHEM.NS,bos_fib_ifvg,2026-08-26,OPEN,2026-08-27,4710.00,4732.1,-0.47,4263.92,5668.46,6136.64,4333.16,4672.10,-37.90,-0.80,-1.10,1,,,,2026-08-27 19:34:11
SUMICHEM.NS,bos_fib_ifvg,2026-08-26,OPEN,2026-08-27,533.10,530.45,+0.50,479.21,632.93,684.16,514.89,525.00,-8.10,-1.52,-1.82,1,,,,2026-08-27 19:34:11
VEDL.NS,supply_demand,2026-08-26,CLOSED,2026-08-27,289.00,286.5,+0.87,257.46,344.59,373.63,291.21,281.00,-8.00,-2.77,-3.07,0,2026-08-27,281.00,EMA50 Breakout,2026-08-27 19:12:56
POONAWALLA.NS,bos_fib_ifvg,2026-08-27,PENDING_ENTRY,,,482.35,,444.67,557.70,595.38,467.30,482.35,,,,0,,,,2026-08-27 19:29:54
CGCL.NS,supply_demand,2026-08-28,PENDING_ENTRY,,,257.98,,211.82,350.31,396.47,230.79,257.98,,,,0,,,,2026-08-28 20:00:00
ENGINERSIN.NS,bos_fib_ifvg,2026-08-28,PENDING_ENTRY,,,253.72,,233.62,293.92,314.02,238.78,253.72,,,,0,,,,2026-08-28 20:00:00
PIRAMALFIN.NS,supply_demand,2026-08-28,PENDING_ENTRY,,,2278.40,,2008.78,2817.65,3087.27,2100.51,2278.40,,,,0,,,,2026-08-28 20:00:00
PTCIL.NS,supply_demand,2026-08-28,PENDING_ENTRY,,,22110.00,,18495.07,29339.86,32954.79,18867.65,22110.00,,,,0,,,,2026-08-28 20:00:00
ACMESOLAR.NS,bos_fib_ifvg,2026-08-31,PENDING_ENTRY,,,401.95,,354.92,496.01,543.05,370.85,401.95,,,,0,,,,2026-08-31 17:22:05
BALRAMCHIN.NS,bos_fib_ifvg,2026-08-31,PENDING_ENTRY,,,693.50,,570.38,939.74,1062.85,621.76,693.50,,,,0,,,,2026-08-31 17:22:05
BHEL.NS,supply_demand,2026-08-31,PENDING_ENTRY,,,442.65,,402.16,523.62,564.11,408.36,442.65,,,,0,,,,2026-08-31 17:22:05
CGPOWER.NS,supply_demand,2026-08-31,PENDING_ENTRY,,,916.00,,850.44,1047.12,1112.68,885.14,916.00,,,,0,,,,2026-08-31 17:22:05
OLAELEC.NS,supply_demand,2026-08-31,PENDING_ENTRY,,,41.12,,35.23,52.90,58.79,39.15,41.12,,,,0,,,,2026-08-31 17:22:05
PAYTM.NS,supply_demand,2026-08-31,PENDING_ENTRY,,,1717.10,,1520.10,2111.11,2308.11,1439.31,1717.10,,,,0,,,,2026-08-31 17:22:05
POLYMED.NS,bos_fib_ifvg,2026-08-31,PENDING_ENTRY,,,1759.60,,1575.20,2128.40,2312.80,1687.08,1759.60,,,,0,,,,2026-08-31 17:22:05
SAGILITY.NS,supply_demand,2026-08-31,PENDING_ENTRY,,,47.05,,41.34,58.47,64.18,42.77,47.05,,,,0,,,,2026-08-31 17:22:05
VMM.NS,supply_demand,2026-08-31,PENDING_ENTRY,,,110.64,,100.59,130.74,140.80,111.07,110.64,,,,0,,,,2026-08-31 17:22:05
